date,open,high,low,close,volume,unadjusted,putthrough
2017-12-28,23.5957,24.2726,23.5957,23.9342,1382650,24.7500,0
2017-12-29,24.2243,24.6595,23.9342,24.6595,2593290,25.5000,400000
2018-01-02,24.6595,26.1101,24.3694,26.1100,2903770,27.0000,1000000
2018-01-03,26.1100,26.1584,25.6265,25.9166,2458110,26.8000,0
2018-01-04,25.9166,26.7869,25.6748,26.6419,4424190,27.5500,1500000
2018-01-05,26.5935,26.6419,26.0617,26.4968,1908830,27.4000,0
2018-01-08,26.7869,27.2704,26.4968,26.9320,2053870,27.8500,0
2018-01-09,26.9320,27.0287,25.1430,26.4968,4214750,27.4000,800000
2018-01-10,26.4968,27.3188,26.4001,26.5452,2817750,27.4500,1250000
2018-01-11,26.5936,26.8353,26.2551,26.6902,1566970,27.6000,0
2018-01-12,26.3034,26.6418,26.2067,26.3518,2484840,27.2500,640000
2018-01-15,26.1584,26.7870,25.8683,26.4001,1787190,27.3000,680000
2018-01-16,26.4485,26.9803,26.3517,26.7870,2368450,27.7000,0
2018-01-17,26.7870,27.1738,26.1101,26.1100,2847680,27.0000,0
2018-01-18,25.7232,26.2067,25.4331,26.2067,1833010,27.1000,0
2018-01-19,26.3034,26.4001,25.7232,26.0133,3553540,26.9000,0
2018-01-22,26.0133,27.6573,25.9649,27.5122,5040120,28.4500,0
2018-01-25,28.1408,29.3979,27.8507,29.3980,7986250,30.4000,100000
2018-01-26,31.4288,31.4288,30.4617,31.4287,5677170,32.5000,0
2018-01-29,31.9122,33.6045,31.9122,33.4595,4395390,34.6000,30000
2018-01-30,31.7672,34.8134,31.7672,34.8134,3283230,36.0000,20000
2018-01-31,35.9738,36.0222,33.0727,33.0727,1755870,34.2000,25000
2018-02-01,33.3628,33.4112,31.8156,32.5892,1894280,33.7000,530000
2018-02-02,32.2024,33.1694,32.0090,32.5892,1771520,33.7000,0
2018-02-05,32.1057,32.2991,30.3167,30.3166,2790640,31.3500,0
2018-02-06,28.2375,29.7847,28.2375,28.2375,3316700,29.2000,20000
2018-02-07,30.1716,30.1716,29.0111,30.1716,2058050,31.2000,50000
2018-02-08,30.1716,31.7189,30.1716,31.1386,2043470,32.2000,0
2018-02-09,29.0111,31.9122,28.9628,31.2353,1800170,32.3000,0
2018-02-12,31.9122,33.4111,31.4287,33.4112,2363270,34.5500,30000
2018-02-13,35.2002,35.2969,33.8464,34.2331,2458380,35.4000,0
2018-02-21,34.8133,36.6023,34.4265,36.1672,2137010,37.4000,0
2018-02-22,35.7804,37.3276,35.5386,35.5870,2856780,36.8000,20000
2018-02-23,35.7804,36.2639,34.7167,35.8771,3624350,37.1000,0
2018-02-26,36.6507,37.4727,36.1672,36.8441,3516600,38.1000,500000
2018-02-27,36.8441,37.5210,36.3606,36.8925,2216610,38.1500,0
2018-02-28,36.6507,38.1980,36.4090,37.7145,4521850,39.0000,0
2018-03-01,37.3277,38.2947,36.2639,36.5540,2634150,37.8000,0
2018-03-02,35.7804,36.7474,35.6837,36.5540,2378830,37.8000,0
2018-03-05,36.9892,37.1342,34.0397,34.0397,2589100,35.2000,20000
2018-03-06,34.8133,36.4089,34.2815,36.4090,2525060,37.6500,0
2018-03-07,36.7475,36.8442,35.6837,36.2639,2053190,37.5000,0
2018-03-08,36.2639,36.7474,35.7804,35.9738,1132070,37.2000,0
2018-03-09,36.2639,36.7474,35.7804,36.0222,2263330,37.2500,0
2018-03-12,37.4244,37.7145,36.7475,37.3277,2014660,38.6000,0
2018-03-13,37.3277,37.9079,36.7475,37.9079,1980080,39.2000,0
2018-03-14,38.4881,38.4881,37.6178,37.7145,1996080,39.0000,0
2018-03-15,37.7145,40.3255,37.4244,40.3255,3528060,41.7000,20000
2018-03-16,40.9057,42.0662,40.4222,41.3892,2628200,42.8000,0
2018-03-19,41.5826,41.6793,39.8419,40.3255,2366180,41.7000,0
2018-03-20,39.8420,41.6794,39.6486,41.0991,1866550,42.5000,0
2018-03-21,42.0661,42.3562,41.1958,42.0661,1606790,43.5000,0
2018-03-22,42.0661,43.0331,41.8243,42.8398,2525390,44.3000,0
2018-03-23,42.0662,42.1629,40.0354,40.9541,3661530,42.3500,0
2018-03-26,40.6156,43.4200,40.6156,43.4200,1932890,44.9000,0
2018-03-27,44.4837,45.0640,42.6464,42.6464,2941390,44.1000,0
2018-03-28,42.5497,43.2750,41.9695,43.0815,1672540,44.5500,0
2018-03-29,43.0815,43.2266,42.3562,42.5497,896470,44.0000,0
2018-03-30,42.3563,42.5013,41.2442,41.9694,2211040,43.4000,0
